File: CAP_5_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   167    a7  10100111
       1   204    cc  11001100
       2   204    cc  11001100
       3   204    cc  11001100
       4   223    df  11011111
       5   239    ef  11101111
       6    12     c  00001100
       7   255    ff  11111111
       8     0     0  00000000
       9     0     0  00000000
      10   251    fb  11111011
      11   239    ef  11101111
      12   255    ff  11111111
      13   248    f8  11111000
      14     0     0  00000000
      15     0     0  00000000
      16   250    fa  11111010
      17   248    f8  11111000
      18   255    ff  11111111
      19   255    ff  11111111
      20   255    ff  11111111
      21   248    f8  11111000
      22   251    fb  11111011
      23   252    fc  11111100
      24   254    fe  11111110
      25   248    f8  11111000
      26   251    fb  11111011
      27   252    fc  11111100
      28   255    ff  11111111
      29   248    f8  11111000
      30   251    fb  11111011
      31   252    fc  11111100
      32   255    ff  11111111
      33   248    f8  11111000
      34   251    fb  11111011
      35   252    fc  11111100
      36   255    ff  11111111
      37   248    f8  11111000
      38   251    fb  11111011
      39   252    fc  11111100
      40   255    ff  11111111
      41   248    f8  11111000
      42   251    fb  11111011
      43   252    fc  11111100
      44   255    ff  11111111
      45   248    f8  11111000
      46   251    fb  11111011
      47   252    fc  11111100
      48   255    ff  11111111
      49   248    f8  11111000
      50   251    fb  11111011
      51   252    fc  11111100
      52   255    ff  11111111
      53   248    f8  11111000
      54   251    fb  11111011
      55   252    fc  11111100
      56   239    ef  11101111
      57   248    f8  11111000
      58   251    fb  11111011
      59   252    fc  11111100
      60    98    62  01100010
      61    95    5f  01011111
      62   175    af  10101111
      63   191    bf  10111111
      64    91    5b  01011011
      65    91    5b  01011011
      66    92    5c  01011100
      67    95    5f  01011111
      68    86    56  01010110
      69    87    57  01010111
      70    89    59  01011001
      71    90    5a  01011010
      72    83    53  01010011
      73    84    54  01010100
      74    85    55  01010101
      75    86    56  01010110
      76    81    51  01010001
      77    82    52  01010010
      78    82    52  01010010
      79    83    53  01010011
      80    80    50  01010000
      81    80    50  01010000
      82    80    50  01010000
      83    81    51  01010001
      84    79    4f  01001111
      85    80    50  01010000
      86    80    50  01010000
      87    80    50  01010000
      88    76    4c  01001100
      89    76    4c  01001100
      90    78    4e  01001110
      91    79    4f  01001111
      92    73    49  01001001
      93    74    4a  01001010
      94    74    4a  01001010
      95    75    4b  01001011
      96    72    48  01001000
