File: CAP_3_00_01_05_06_20.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   254    fe  11111110
       1    58    3a  00111010
       2    58    3a  00111010
       3    58    3a  00111010
       4    16    10  00010000
       5    95    5f  01011111
       6    95    5f  01011111
       7   143    8f  10001111
       8   242    f2  11110010
       9     0     0  00000000
      10   252    fc  11111100
      11   239    ef  11101111
      12   254    fe  11111110
      13   250    fa  11111010
      14     0     0  00000000
      15     0     0  00000000
      16   252    fc  11111100
      17   249    f9  11111001
      18   248    f8  11111000
      19   253    fd  11111101
      20   248    f8  11111000
      21   250    fa  11111010
      22   248    f8  11111000
      23   239    ef  11101111
      24   248    f8  11111000
      25   250    fa  11111010
      26   248    f8  11111000
      27   239    ef  11101111
      28   248    f8  11111000
      29   250    fa  11111010
      30   248    f8  11111000
      31   239    ef  11101111
      32   248    f8  11111000
      33   250    fa  11111010
      34   248    f8  11111000
      35   239    ef  11101111
      36   253    fd  11111101
      37   250    fa  11111010
      38   248    f8  11111000
      39   239    ef  11101111
      40   248    f8  11111000
      41   250    fa  11111010
      42   248    f8  11111000
      43   239    ef  11101111
      44   254    fe  11111110
      45   250    fa  11111010
      46   248    f8  11111000
      47   251    fb  11111011
      48   253    fd  11111101
      49   250    fa  11111010
      50   248    f8  11111000
      51   239    ef  11101111
      52   254    fe  11111110
      53   250    fa  11111010
      54   248    f8  11111000
      55   239    ef  11101111
      56   247    f7  11110111
      57   250    fa  11111010
      58   248    f8  11111000
      59   239    ef  11101111
      60    94    5e  01011110
      61    95    5f  01011111
      62   127    7f  01111111
      63   191    bf  10111111
      64    94    5e  01011110
      65    96    60  01100000
      66    97    61  01100001
      67    97    61  01100001
      68    90    5a  01011010
      69    91    5b  01011011
      70    92    5c  01011100
      71    93    5d  01011101
      72    85    55  01010101
      73    86    56  01010110
      74    86    56  01010110
      75    88    58  01011000
      76    82    52  01010010
      77    83    53  01010011
      78    83    53  01010011
      79    84    54  01010100
      80    81    51  01010001
      81    81    51  01010001
      82    81    51  01010001
      83    81    51  01010001
      84    80    50  01010000
      85    80    50  01010000
      86    80    50  01010000
      87    80    50  01010000
      88    77    4d  01001101
      89    78    4e  01001110
      90    78    4e  01001110
      91    80    50  01010000
      92    75    4b  01001011
      93    75    4b  01001011
      94    76    4c  01001100
      95    77    4d  01001101
      96    73    49  01001001
      97    73    49  01001001
      98    73    49  01001001
      99    74    4a  01001010
     100    72    48  01001000
     101    72    48  01001000
     102    72    48  01001000
     103    72    48  01001000
     104    71    47  01000111
     105    71    47  01000111
     106    71    47  01000111
     107    72    48  01001000
     108    71    47  01000111
     109    71    47  01000111
     110    71    47  01000111
